id,transporter_1,transporter_2,transporter_3,transporter_4,transporter_5,transporter_6
1,"(55, 55, 0, 0)","(31, 31, 0, 1)","(28, 28, 0, 2)","(0, 0, 0, 3)","(3, 3, 0, 4)","(52, 52, 0, 5)"
1,"(55, 55, 1, 0)","(31, 31, 1, 1)","(28, 28, 1, 2)","(0, 0, 1, 3)","(3, 3, 1, 4)","(52, 52, 1, 5)"
1,"(55, 55, 2, 0)","(31, 31, 2, 1)","(28, 28, 2, 2)","(0, 0, 2, 3)","(3, 3, 2, 4)","(52, 52, 2, 5)"
1,"(55, 55, 3, 0)","(31, 31, 3, 1)","(28, 28, 3, 2)","(0, 0, 3, 3)","(3, 3, 3, 4)","(52, 52, 3, 5)"
1,"(55, 55, 4, 0)","(31, 31, 4, 1)","(28, 28, 4, 2)","(0, 0, 4, 3)","(3, 3, 4, 4)","(52, 52, 4, 5)"
1,"(55, 55, 5, 0)","(31, 31, 5, 1)","(28, 28, 5, 2)","(0, 0, 5, 3)","(3, 3, 5, 4)","(52, 52, 5, 5)"
1,"(55, 55, 6, 0)","(31, 31, 6, 1)","(28, 28, 6, 2)","(0, 0, 6, 3)","(3, 3, 6, 4)","(52, 52, 6, 5)"
1,"(55, 55, 7, 0)","(31, 31, 7, 1)","(28, 28, 7, 2)","(0, 0, 7, 3)","(3, 3, 7, 4)","(52, 52, 7, 5)"
1,"(55, 55, 8, 0)","(31, 31, 8, 1)","(28, 28, 8, 2)","(0, 0, 8, 3)","(3, 3, 8, 4)","(52, 52, 8, 5)"
1,"(55, 55, 9, 0)","(31, 31, 9, 1)","(28, 28, 9, 2)","(0, 0, 9, 3)","(3, 3, 9, 4)","(52, 52, 9, 5)"
1,"(55, 55, 10, 0)","(31, 31, 10, 1)","(28, 28, 10, 2)","(0, 0, 10, 3)","(3, 3, 10, 4)","(52, 52, 10, 5)"
1,"(55, 55, 11, 0)","(31, 31, 11, 1)","(28, 28, 11, 2)","(0, 0, 11, 3)","(3, 3, 11, 4)","(52, 52, 11, 5)"
1,"(55, 55, 12, 0)","(31, 31, 12, 1)","(28, 28, 12, 2)","(0, 0, 12, 3)","(3, 3, 12, 4)","(52, 52, 12, 5)"
1,"(55, 55, 13, 0)","(31, 31, 13, 1)","(28, 28, 13, 2)","(0, 0, 13, 3)","(3, 3, 13, 4)","(52, 52, 13, 5)"
1,"(55, 55, 14, 0)","(31, 31, 14, 1)","(28, 28, 14, 2)","(0, 0, 14, 3)","(3, 3, 14, 4)","(52, 52, 14, 5)"
1,"(55, 55, 15, 0)","(31, 31, 15, 1)","(28, 28, 15, 2)","(0, 0, 15, 3)","(3, 3, 15, 4)","(52, 52, 15, 5)"
